"","Most recent year:","#1 Ranked","#1 Ranked","#1 Ranked","#2 Ranked","#2 Ranked","#2 Ranked","#3 Ranked","#3 Ranked","#3 Ranked","#4 Ranked","#4 Ranked","#4 Ranked","#5 Ranked","#5 Ranked","#5 Ranked","#6 Ranked","#6 Ranked","#6 Ranked","#7 Ranked","#7 Ranked","#7 Ranked","#8 Ranked","#8 Ranked","#8 Ranked","#9 Ranked","#9 Ranked","#9 Ranked","#10 Ranked","#10 Ranked","#10 Ranked","Remaining native tree species","Remaining native tree species","Remaining native tree species","TOTAL native tree species","TOTAL native tree species","TOTAL native tree species","#1 Ranked","#1 Ranked","#1 Ranked","#2 Ranked","#2 Ranked","#2 Ranked","#3 Ranked","#3 Ranked","#3 Ranked","#4 Ranked","#4 Ranked","#4 Ranked","#5 Ranked","#5 Ranked","#5 Ranked","Remaining introduced tree species","Remaining introduced tree species","Remaining introduced tree species","TOTAL introduced tree species","TOTAL introduced tree species","TOTAL introduced tree species","Total growing stock","Total growing stock","Total growing stock"
"","Most recent year:","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest"
"Bhutan","2023","Oak","126.36","16.65","Oak","115.63","15.23","Hemlock","36.61","4.82","Percea","35.22","4.64","Chestnut","33.73","4.44","Maple","27.46","3.62","Rhodendron","26.76","3.53","Blue pie","23.77","3.13","Birch","15.84","2.09","Spruce","14.42","1.90","","303.28","39.95","","759.08","100.00","","0.00","0.00","","0.00","0.00","","0.00","0.00","","0.00","0.00","","0.00","0.00","","0.00","0.00","","0","0.00","","759.08",""
"Bolivia (Plurinational State of)","2020","Ochóo","589.30","13.74","Castaña","283.01","6.60","Bibosi","267.78","6.24","Verdolago","203.88","4.75","Curupau","131.30","3.06","Nui","118.25","2.76","Isigo","117.13","2.73","Mapajo","113.80","2.65","Pacay","100.13","2.33","Cambará","89.41","2.08","","2276.50","53.06","","4290.49","100.00","","","","","","","","","","","","","","","","","","","","","","","4290.49",""
"Bonaire, Sint Eustatius and Saba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bosnia and Herzegovina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Botswana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brazil","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"British Virgin Islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brunei Darussalam","2000","Meranti Sarang Punai","","","Kapur Bukit","","","Kumus","","","Kapur paji","","","Keruing beludu","","","Meranti binatoh","","","Kempas","","","Keruing buah bulat","","","Meranti melantai","","","Meranti kawang burong","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bulgaria","2020","Beech","185.20","25.78","Scots pine","146.60","20.41","Oak","100.40","13.98","Black Pine","76.60","10.66","Norway Spruce","65.90","9.17","Bitter Oak","49.70","6.92","Hornbeam","29.10","4.05","Silver Fir","16.40","2.28","Lime","14.50","2.02","Balkan pine","4.60","0.64","","21.62","3.01","","710.62","98.91","Douglas Fir","5.20","0.72","Poplars","2.40","0.33","Larch","0.20","0.03","","","","","","","","","","","7.8","1.09","","718.42",""
"Burkina Faso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
