"","Production (1 000 ha)","Production (1 000 ha)","Production (1 000 ha)","Production (1 000 ha)","Production (1 000 ha)","Production (1 000 ha)","Protection of soil and water (1 000 ha)","Protection of soil and water (1 000 ha)","Protection of soil and water (1 000 ha)","Protection of soil and water (1 000 ha)","Protection of soil and water (1 000 ha)","Protection of soil and water (1 000 ha)","Conservation of biodiversity (1 000 ha)","Conservation of biodiversity (1 000 ha)","Conservation of biodiversity (1 000 ha)","Conservation of biodiversity (1 000 ha)","Conservation of biodiversity (1 000 ha)","Conservation of biodiversity (1 000 ha)","Social Services (1 000 ha)","Social Services (1 000 ha)","Social Services (1 000 ha)","Social Services (1 000 ha)","Social Services (1 000 ha)","Social Services (1 000 ha)","Multiple use (1 000 ha)","Multiple use (1 000 ha)","Multiple use (1 000 ha)","Multiple use (1 000 ha)","Multiple use (1 000 ha)","Multiple use (1 000 ha)","Other (specify in comments) (1 000 ha)","Other (specify in comments) (1 000 ha)","Other (specify in comments) (1 000 ha)","Other (specify in comments) (1 000 ha)","Other (specify in comments) (1 000 ha)","Other (specify in comments) (1 000 ha)","No designation (1 000 ha)","No designation (1 000 ha)","No designation (1 000 ha)","No designation (1 000 ha)","No designation (1 000 ha)","No designation (1 000 ha)","Unknown (1 000 ha)","Unknown (1 000 ha)","Unknown (1 000 ha)","Unknown (1 000 ha)","Unknown (1 000 ha)","Unknown (1 000 ha)","Total forest area (1 000 ha)","Total forest area (1 000 ha)","Total forest area (1 000 ha)","Total forest area (1 000 ha)","Total forest area (1 000 ha)","Total forest area (1 000 ha)"
"","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025"
"Cabo Verde","","","","21.82","21.82","21.82","","","","","","","","","","21.68","21.68","21.68","","","","","","","","","","","","","","","","","","","","","","","","","33.50","37.90","42.30","1.36","4.46","7.56","33.50","37.90","42.30","44.86","47.96","51.06"
"Cambodia","2244.00","2244.00","2244.00","2244.00","2244.00","2244.00","0.00","6.00","551.00","551.00","551.00","551.00","3311.36","3196.82","3082.28","3082.28","3082.28","3082.28","97.00","97.00","97.00","97.00","97.00","97.00","404.00","404.00","404.00","404.00","404.00","358.89","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4948.43","4833.18","4210.95","2468.54","1498.56","0.00","11004.79","10781.00","10589.23","8846.82","7876.84","6333.17"
"Cameroon","","","8235.63","8299.54","9256.36","9256.36","","","","","","","","","6541.85","7636.03","8145.00","8145.00","","","","","","","","","","","","","","","","","","","","","","","","","22500.00","21597.49","6123.00","4684.91","2326.64","1741.86","22500.00","21597.49","20900.48","20620.48","19728.00","19143.22"
"Canada","135847.00","136191.00","138499.00","138170.00","138871.00","139433.00","15579.00","15734.00","15956.00","15986.00","16071.00","9682.00","20658.00","22339.00","25669.00","29829.00","31159.00","45822.00","15169.00","15222.00","15447.00","15566.00","15630.00","14575.00","119392.00","118908.00","118499.00","116859.00","115432.00","56227.00","971.00","971.00","985.00","1003.00","1005.00","64845.00","0.00","0.00","0.00","0.00","0.00","0.00","53161.29","50940.02","50376.10","50581.14","50699.93","38234.85","360777.29","360305.02","365431.10","367994.14","368867.93","368818.85"
"Cayman Islands","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","0.00","1.54","1.54","1.57","1.57","1.57","","","","","","","","","","","","","","","","","","","","","","","","","13.13","11.39","11.18","11.15","11.15","11.15","13.13","12.93","12.72","12.72","12.72","12.72"
"Central African Republic","4826.00","4826.00","4826.00","4826.00","4826.00","4826.00","0.00","0.00","0.00","0.00","0.00","0.00","568.50","568.50","568.50","568.50","568.50","568.50","0.00","0.00","0.00","0.00","0.00","0.00","41040.41","40690.49","40340.57","40165.61","39932.99","39700.37","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","46434.91","46084.99","45735.07","45560.11","45327.49","45094.87"
"Colombia","","","2028.02","3246.50","3425.07","3603.65","","","1143.29","1523.40","4157.45","6791.50","9092.80","9123.18","12019.87","12273.89","12577.63","12798.16","","","","","","","","","","","","","","","2363.82","1539.31","3984.21","4889.82","","","","","","","56010.00","53447.16","43876.74","42380.66","35978.92","31373.73","65102.80","62570.34","61431.74","60963.76","60123.28","59456.86"
"Comoros","7.41","3.41","1.31","0.76","0.76","0.76","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","39.75","39.37","35.99","34.35","32.11","32.61","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","47.16","42.78","37.30","34.56","32.87","33.37"
"Congo","19833.84","19892.00","13834.72","14813.99","14755.10","14755.10","0.00","0.00","0.00","0.00","1121.00","1121.00","1889.48","2228.69","2288.19","2703.64","3218.66","3218.66","0.00","0.00","0.00","0.00","745.00","745.00","531.68","14.31","5792.09","4395.67","1944.04","2014.04","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","100.00","0.00","0.00","0.00","22255.00","22135.00","22015.00","21913.30","21783.80","21853.80"
"Cook Islands","0.00","0.00","0.00","0.00","0.00","0.00","0.51","1.17","1.19","1.19","1.19","1.19","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","14.40","14.40","14.40","14.40","14.40","14.40","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","14.91","15.57","15.59","15.59","15.59","15.59"
"Costa Rica","","","","","59.73","59.73","","","","","127.74","127.74","","","","","670.45","670.45","","","","","0.19","0.19","","","","","324.33","324.33","","","","","","","","","","","","","2758.74","2849.05","2880.75","2954.46","1789.61","1807.20","2758.74","2849.05","2880.75","2954.46","2972.05","2989.64"
"Côte d'Ivoire","2129.74","1585.64","1091.85","844.95","621.76","621.76","0.00","0.00","0.00","0.00","0.00","0.00","1406.68","1390.21","1345.86","1323.69","706.20","706.20","0.00","0.00","0.00","0.00","0.00","0.00","4314.44","2118.60","1527.87","1232.51","2850.28","2446.17","0.00","0.00","0.00","0.00","0.00","0.00","","","","","0.00","0.00","446.24","1068.17","1032.23","1047.37","0.00","0.00","8297.10","6162.62","4997.81","4448.52","4178.24","3774.13"
"Croatia","1624.00","1602.00","1581.00","1548.00","1334.90","1299.78","53.00","68.00","82.00","73.00","243.78","243.78","25.00","39.00","54.00","54.00","55.20","62.75","10.00","24.00","38.00","45.00","27.38","33.17","138.00","152.00","165.00","202.00","278.34","306.72","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1850.00","1885.00","1920.00","1922.00","1939.60","1946.20"
"Cuba","694.15","810.34","963.57","1056.53","1084.28","1063.34","1166.15","1361.35","1618.76","1774.95","1821.56","1865.42","443.41","517.63","615.51","674.90","692.64","680.38","8.29","9.68","11.51","12.62","12.95","13.24","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2312.00","2699.00","3209.35","3519.00","3611.43","3622.38"
"Curaçao","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.07","0.07","0.07","0.07","0.07","0.07","0.07","0.07","0.07","0.07","0.07","0.07"
"Cyprus","43.22","43.17","41.40","41.12","41.12","41.12","","","","","","","0.76","3.39","3.39","3.39","3.39","3.39","2.30","10.58","13.49","13.49","13.96","13.96","59.51","48.66","48.82","49.19","55.63","55.63","","","","","","","","","","","","","55.32","65.81","65.74","65.52","58.44","57.60","161.11","171.61","172.84","172.71","172.54","171.70"
"Czechia","1548.74","1932.45","1942.38","1951.08","1944.57","1974.64","81.84","225.28","226.44","227.45","223.14","226.59","8.05","222.94","224.09","225.09","224.12","227.59","944.15","143.33","144.06","144.71","140.70","142.88","0.00","60.61","60.92","61.19","63.85","64.84","0.00","0.00","0.00","0.00","0.00","0.00","256.70","280.68","282.13","283.39","326.78","331.83","0.00","0.00","0.00","0.00","0.00","0.00","2839.48","2865.28","2880.01","2892.91","2923.16","2968.36"
"Democratic People's Republic of Korea","6523.50","6523.50","6612.91","6662.58","6712.26","6761.94","0.00","0.00","0.00","0.00","0.00","0.00","931.93","931.93","944.70","951.80","958.89","965.99","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","7455.43","7455.43","7557.61","7614.38","7671.15","7727.93"
"Democratic Republic of the Congo","25691.67","25691.67","13691.67","15131.02","11364.89","11364.89","0.00","0.00","0.00","0.00","0.00","0.00","","27000.00","25800.00","26431.00","27372.00","27372.00","","","","0.01","0.01","0.01","","","","0.00","253.11","3343.28","","","","","","","","","107548.77","100455.94","101613.51","97108.88","134848.51","101098.64","0.00","0.00","0.00","0.00","160540.18","153790.31","147040.44","142017.96","140603.51","139189.05"
"Denmark","417.32","453.53","470.41","502.17","504.25","521.88","0.00","0.00","0.00","0.00","0.00","0.00","0.37","18.41","21.35","21.37","31.91","75.70","0.00","0.00","0.00","0.00","0.00","0.00","113.75","99.66","94.73","101.14","92.28","44.98","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4.27","0.00","531.44","571.60","586.34","624.26","632.71","642.56"
"Djibouti","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5.60","5.60","5.60","5.65","5.88","5.93","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5.60","5.60","5.60","5.65","5.88","5.93"
"Dominica","5.88","5.88","5.88","5.88","5.88","5.88","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","52.95","52.67","52.48","51.92","51.69","51.47","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","58.83","58.55","58.36","57.80","57.57","57.35"
"Dominican Republic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2132.15","2165.80","2186.28","2214.83","2224.35","2257.46","2132.15","2165.80","2186.28","2214.83","2224.35","2257.46"
