"","Production (1 000 ha)","Production (1 000 ha)","Production (1 000 ha)","Production (1 000 ha)","Production (1 000 ha)","Production (1 000 ha)","Protection of soil and water (1 000 ha)","Protection of soil and water (1 000 ha)","Protection of soil and water (1 000 ha)","Protection of soil and water (1 000 ha)","Protection of soil and water (1 000 ha)","Protection of soil and water (1 000 ha)","Conservation of biodiversity (1 000 ha)","Conservation of biodiversity (1 000 ha)","Conservation of biodiversity (1 000 ha)","Conservation of biodiversity (1 000 ha)","Conservation of biodiversity (1 000 ha)","Conservation of biodiversity (1 000 ha)","Social Services (1 000 ha)","Social Services (1 000 ha)","Social Services (1 000 ha)","Social Services (1 000 ha)","Social Services (1 000 ha)","Social Services (1 000 ha)","Multiple use (1 000 ha)","Multiple use (1 000 ha)","Multiple use (1 000 ha)","Multiple use (1 000 ha)","Multiple use (1 000 ha)","Multiple use (1 000 ha)","Other (specify in comments) (1 000 ha)","Other (specify in comments) (1 000 ha)","Other (specify in comments) (1 000 ha)","Other (specify in comments) (1 000 ha)","Other (specify in comments) (1 000 ha)","Other (specify in comments) (1 000 ha)","No designation (1 000 ha)","No designation (1 000 ha)","No designation (1 000 ha)","No designation (1 000 ha)","No designation (1 000 ha)","No designation (1 000 ha)","Unknown (1 000 ha)","Unknown (1 000 ha)","Unknown (1 000 ha)","Unknown (1 000 ha)","Unknown (1 000 ha)","Unknown (1 000 ha)","Total forest area (1 000 ha)","Total forest area (1 000 ha)","Total forest area (1 000 ha)","Total forest area (1 000 ha)","Total forest area (1 000 ha)","Total forest area (1 000 ha)"
"","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025"
"Lithuania","1412.00","1466.00","1549.00","1560.00","1498.17","1479.00","171.00","178.00","192.00","193.00","131.26","130.00","160.00","166.00","201.00","204.00","384.19","425.00","75.00","78.00","65.00","65.00","55.55","52.00","127.00","132.00","163.00","165.00","133.02","130.34","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1945.00","2020.00","2170.00","2187.00","2202.19","2216.34"
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.80","86.70","88.70","88.70","88.70","88.70","85.80","86.70","88.70","88.70","88.70","88.70"
"Madagascar","3594.72","3420.52","3139.80","2929.36","2771.11","2607.79","189.65","180.46","165.65","154.55","146.20","137.58","5387.18","5126.12","4705.42","4390.05","4152.88","3908.13","0.00","0.00","0.00","0.00","0.00","0.00","4505.59","4287.26","3935.39","3671.64","3473.28","3268.58","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","13677.14","13014.36","11946.26","11145.60","10543.47","9922.08"
"Malawi","137.00","118.00","96.80","86.20","75.70","59.03","","","","","","","757.90","757.90","757.90","757.90","757.90","757.90","","","","","","","965.80","965.80","965.80","965.80","965.80","965.80","","","","","","","","","","","","","1641.06","1240.00","841.20","641.80","442.30","248.97","3501.76","3081.70","2661.70","2451.70","2241.70","2031.70"
"Malaysia","11435.66","9979.47","9989.55","9373.03","8837.39","8777.39","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","9182.84","9711.88","8958.10","10091.91","10347.35","10107.35","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","20618.50","19691.35","18947.65","19464.22","19184.74","18884.74"
"Maldives","0.00","0.00","0.00","0.00","0.00","0.00","0.10","0.10","0.10","0.10","0.15","0.15","0.20","0.20","0.20","0.20","0.25","0.25","0.00","0.00","0.00","0.00","0.00","0.00","0.15","0.15","0.15","0.15","0.15","0.15","0.00","0.00","0.00","0.00","0.00","0.00","0.37","0.37","0.37","0.37","0.27","0.27","2.90","2.90","2.90","2.90","2.90","2.90","3.72","3.72","3.72","3.72","3.72","3.72"
"Mali","10586.49","9782.12","8977.75","9883.99","9481.80","9079.62","1155.94","1055.39","954.85","250.36","200.09","149.82","770.00","770.00","770.00","770.00","770.00","770.00","0.00","0.00","0.00","0.00","0.00","0.00","1485.94","1385.39","1284.84","580.36","530.09","479.81","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","13998.36","12992.90","11987.44","11484.71","10981.98","10479.25"
"Malta","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.35","0.35","0.35","0.35","0.46","0.47","0.35","0.35","0.35","0.35","0.46","0.47"
"Marshall Islands","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","9.40","9.40","9.40","9.40","9.71","9.71","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","9.40","9.40","9.40","9.40","9.71","9.71"
"Martinique","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","47.84","48.74","50.29","51.29","52.29","52.67","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","47.84","48.74","50.29","51.29","52.29","52.67"
"Mauritania","0.00","0.00","0.00","0.20","2.00","2.00","48.00","48.00","148.00","188.00","190.00","194.00","0.08","3.11","3.11","3.11","3.11","3.11","0.00","0.00","0.00","0.00","0.00","0.00","879.07","902.32","828.59","801.53","810.87","820.02","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","927.15","953.43","979.70","992.84","1005.98","1019.13"
"Mauritius","12.32","12.58","11.52","7.66","7.50","7.50","17.25","17.61","16.13","16.85","17.15","17.15","8.63","8.80","6.72","7.66","7.86","7.86","2.87","2.94","2.69","3.06","3.12","3.12","0.00","0.00","1.33","3.07","3.14","3.14","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","41.07","41.93","38.36","38.30","38.29","38.29"
"Mayotte","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","19.25","14.79","10.41","10.05","9.77","9.60","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","19.25","14.79","10.41","10.05","9.77","9.60"
"Mexico","","","5.99","2938.13","2809.60","161.37","","","","256.61","176.36","32.63","5556.87","7409.54","8766.76","8696.49","8819.25","8621.64","24.59","24.53","26.76","26.61","27.30","27.30","","","1880.81","8459.66","8614.84","1758.98","","","","1432.48","771.11","","","","","","","","66222.47","62159.59","57475.33","45733.28","45685.96","55663.67","71803.93","69593.66","68155.65","67543.26","66904.42","66265.59"
"Micronesia (Federated States of)","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","10.40","10.40","10.40","10.40","10.40","10.40","0.00","0.00","0.00","0.00","0.00","0.00","53.18","53.46","53.73","53.87","54.02","54.17","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","63.58","63.86","64.13","64.27","64.42","64.57"
"Monaco","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Mongolia","3175.52","3175.52","3175.52","3777.00","3778.00","3778.00","10214.02","10214.02","10214.02","9198.63","9198.63","9198.63","26.31","575.29","578.84","952.77","952.77","952.77","2.02","197.29","215.52","249.93","249.93","249.93","","","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","934.13","101.78","0.00","0.00","0.00","0.00","14352.00","14263.90","14183.90","14178.33","14178.33","14178.33"
"Montenegro","","","675.40","675.40","675.40","675.40","","","106.00","106.00","106.00","106.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","626.00","626.00","45.60","45.60","45.60","45.60","626.00","626.00","827.00","827.00","827.00","827.00"
"Montserrat","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.50","2.42","2.42","2.42","2.42","2.42","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.50","2.42","2.42","2.42","2.42","2.42"
"Morocco","803.79","818.55","866.32","908.58","920.66","927.22","0.00","33.00","88.00","139.00","237.00","237.00","35.20","47.20","260.90","260.90","260.90","260.90","0.00","0.00","162.00","163.40","163.40","163.40","4862.00","4799.92","4318.48","4218.02","4111.81","4106.82","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5700.99","5698.67","5695.70","5689.90","5693.77","5695.34"
"Mozambique","27348.91","25397.62","23488.19","20435.99","18349.88","16273.30","9635.00","9148.00","8617.14","7509.64","8260.60","8293.51","4605.00","4373.00","4143.00","6967.56","6967.56","7676.09","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","41588.91","38918.62","36248.33","34913.19","33578.04","32242.90"
"Myanmar","24644.00","24644.00","20470.00","18492.07","18492.07","18492.07","1499.00","1499.00","3349.00","4008.14","4008.14","4008.14","1220.00","1220.00","4466.00","4962.40","4962.40","4595.11","0.00","0.00","0.00","0.00","0.00","0.00","11855.48","7505.11","3156.00","2529.83","1081.27","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","39218.48","34868.11","31441.00","29992.44","28543.88","27095.32"
"Namibia","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","689.23","689.23","689.23","689.23","689.23","689.23","0.00","0.00","0.00","0.00","0.00","0.00","8079.94","7369.85","7363.40","7360.18","7356.95","7353.73","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","8769.17","8059.08","8052.63","8049.41","8046.18","8042.96"
"Nauru","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Nepal","136.00","206.00","1682.37","1879.78","2606.88","2606.88","0.00","0.00","0.00","0.00","0.00","0.00","1160.90","2956.80","3434.92","3460.69","3447.43","3513.73","","","2.06","2.06","2.06","2.06","18.34","18.34","18.34","42.34","43.97","43.97","0.64","0.64","0.64","0.64","0.64","0.64","","","","","","0.00","4432.23","2733.74","944.60","714.94","82.37","98.97","5748.11","5915.52","6082.93","6100.45","6183.35","6266.25"
"Netherlands (Kingdom of the)","31.00","4.00","4.00","3.00","3.00","3.00","0.00","0.00","0.00","0.00","0.00","0.00","34.33","89.50","95.73","143.43","187.60","191.77","0.00","0.00","0.00","0.00","0.00","0.00","280.00","266.00","273.75","218.40","173.48","174.56","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.00","0.00","345.33","359.50","373.48","364.83","367.08","369.33"
"New Caledonia","19.04","19.84","20.39","","","","123.84","123.84","123.84","149.44","149.44","149.44","60.49","72.23","76.15","170.08","170.08","170.08","","","","","","","","","","","","","","","","","","","","","","","","","627.76","621.94","618.64","573.09","573.09","573.09","831.13","837.85","839.02","892.61","892.61","892.61"
"New Zealand","1758.00","1995.00","2057.00","2053.00","2081.00","2081.00","0.00","0.00","0.00","0.00","0.00","0.00","4536.00","4916.00","5258.00","5187.00","5216.00","5216.00","0.00","0.00","0.00","0.00","0.00","0.00","62.00","92.00","102.00","109.00","111.00","111.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3016.27","2847.44","2431.12","2497.61","2557.29","2895.03","9372.27","9850.44","9848.12","9846.61","9965.29","10303.03"
"Nicaragua","","21.91","15.64","15.70","3.41","3.41","","","","","","","","","","","467.88","467.88","","","","","","","","","","","","","","","","","","","","","","","","","7098.90","6083.79","5096.86","4986.20","4420.04","4309.41","7098.90","6105.70","5112.50","5001.90","4891.33","4780.70"
"Niger","9.00","9.00","9.00","17.00","24.00","24.00","2.50","2.50","2.50","2.50","2.50","2.50","220.00","220.00","220.00","220.00","220.00","220.00","0.00","0.00","0.00","0.00","0.00","0.00","1713.50","1096.60","972.40","902.30","833.20","808.60","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1945.00","1328.10","1203.90","1141.80","1079.70","1055.10"
"Nigeria","6255.55","5887.59","5519.63","5335.65","5151.67","4967.69","6471.26","6090.61","5709.96","5519.63","5329.31","5138.99","6039.84","5684.57","5329.30","5151.67","4974.02","4796.39","1941.38","1827.18","1712.99","1655.89","1598.79","1541.70","862.83","812.08","761.32","735.94","710.58","685.19","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","21570.86","20302.03","19033.20","18398.78","17764.37","17129.96"
"Niue","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","18.93","18.93","18.93","18.93","18.93","18.93","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","18.93","18.83","18.77","18.82","18.87","18.87"
"Norfolk Island","0.05","0.05","0.05","0.05","0.05","0.05","","","","","","","0.37","0.37","0.37","0.37","0.37","0.37","","","","","","","","","","","","","","","","","","","","","","","","","0.07","0.07","0.07","0.07","0.07","0.07","0.49","0.49","0.49","0.49","0.49","0.49"
"North Macedonia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","912.00","957.55","960.43","994.40","1042.32","1026.10","912.00","957.55","960.43","994.40","1042.32","1026.10"
"Northern Mariana Islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.32","20.32","20.32","24.36","24.36","24.36","20.32","20.32","20.32","24.36","24.36","24.36"
"Norway","5975.00","5909.00","5781.00","5702.00","5614.00","5526.00","4609.00","4609.00","4609.00","4609.00","4609.00","4609.00","213.00","268.00","480.00","604.00","726.00","848.00","20.00","20.00","17.00","17.00","18.00","19.00","1373.00","1364.48","1234.00","1172.00","1125.00","1077.64","27.00","28.00","29.00","29.00","29.00","29.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","12216.87","12198.48","12149.29","12132.98","12120.81","12108.64"
"Oman","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.60","1.60","1.60","1.60","1.60","1.60","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.60","1.60","1.60","1.60","1.60","1.60"
"Pakistan","","","","","","","","","","","","","","","","","","","","","","","","","3461.01","3316.91","3164.83","3036.05","3088.53","3192.46","","","","","","","","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","3461.01","3316.91","3164.83","3036.05","3088.53","3192.46"
"Palau","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","38.15","39.58","40.56","40.99","41.42","41.87","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","38.15","39.58","40.56","40.99","41.42","41.87"
"Palestine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.08","9.08","9.98","10.57","11.10","11.10","9.08","9.08","9.98","10.57","11.10","11.10"
"Panama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4956.04","4790.78","4676.63","4644.75","4629.68","4614.61","4956.04","4790.78","4676.63","4644.75","4629.68","4614.61"
"Papua New Guinea","5231.13","5213.64","5199.40","5177.20","5152.96","5152.96","1032.49","1029.03","1026.22","1021.84","1017.06","1017.06","1376.08","1371.48","1367.73","1361.89","1355.52","1355.52","0.00","0.00","0.00","0.00","0.00","0.00","1103.90","1100.21","1097.20","1092.52","1087.40","1087.40","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","25870.76","25680.86","25485.49","25499.56","25434.77","25416.02","34614.36","34395.22","34176.04","34153.01","34047.71","34028.96"
"Paraguay","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25679.68","21909.71","18139.75","16369.67","15115.94","14297.39","25679.68","21909.71","18139.75","16369.67","15115.94","14297.39"
"Peru","","","","","","14975.37","","","","","","12834.98","","","","","","30596.38","","","","","","0.00","","","","","","90.10","","","","","","2.04","","","","","","8609.50","77037.89","74044.52","71051.15","69554.46","68656.45","51.39","77037.89","74044.52","71051.15","69554.46","68656.45","67159.76"
"Philippines","3157.86","2692.48","2227.10","2319.09","1887.87","1456.65","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4620.95","4616.78","4612.62","4696.06","5338.53","5981.99","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","7778.81","7309.26","6839.72","7014.15","7226.39","7438.64"
"Pitcairn","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.69","3.69","3.69","3.69","3.69","3.69","3.69","3.69","3.69","3.69","3.69","3.69"
"Poland","6193.00","5832.00","5860.00","4390.00","4401.20","4407.00","721.00","1556.00","1866.00","1013.00","1014.00","1001.00","181.00","402.00","533.00","3248.00","3268.00","3294.00","1787.00","1269.00","1070.00","769.00","781.00","793.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","8882.00","9059.00","9329.00","9420.00","9464.20","9495.00"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","15.36","15.36","15.36","15.36","15.36","15.36","0.00","0.00","0.00","0.00","0.00","0.00","3423.06","3333.21","3236.52","3296.47","3319.03","3347.27","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3438.42","3348.57","3251.88","3311.83","3334.39","3362.63"
"Puerto Rico","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","303.83","429.15","491.45","488.18","473.24","502.82","303.83","429.15","491.45","488.18","473.24","502.82"
"Qatar","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.05","0.05","0.05","0.05","0.05","0.05","0.00","0.00","0.00","0.00","0.00","0.00","1.35","1.35","1.35","1.35","1.35","1.35","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.40","1.40","1.40","1.40","1.40","1.40"
"Republic of Korea","2403.00","2375.00","2343.00","2324.00","2310.22","2303.25","1462.00","1446.00","1426.00","1414.00","1399.58","1395.36","1221.00","1305.00","1385.00","1377.00","1392.95","1388.75","345.00","341.00","336.00","333.00","313.32","312.37","605.00","598.00","590.00","585.00","577.70","575.40","515.00","411.00","307.00","304.00","304.36","304.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","6551.00","6476.00","6387.00","6337.00","6298.00","6279.13"
"Republic of Moldova","14.00","0.00","0.00","0.00","0.00","0.00","27.01","28.59","214.99","221.79","211.71","210.11","44.10","60.60","66.10","75.85","73.25","72.70","96.35","101.95","83.52","86.17","85.45","84.81","143.94","153.28","9.93","2.59","2.74","2.72","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","0.00","0.00","0.00","0.00","0.05","0.00","325.40","344.40","374.50","386.40","373.20","370.30"
"Réunion","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","67.95","70.97","73.99","76.05","77.07","77.15","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","67.95","70.97","73.99","76.05","77.07","77.15"
"Romania","4186.00","3043.00","3043.00","3501.00","2959.00","2970.99","1639.00","2485.00","2543.00","2490.00","2515.00","2525.19","197.00","308.00","317.00","320.00","321.00","322.30","240.40","364.30","372.00","380.00","388.00","396.00","0.00","0.00","0.00","0.00","0.00","0.00","108.60","165.70","240.00","209.96","746.05","742.65","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","6371.00","6366.00","6515.00","6900.96","6929.05","6957.13"
"Russian Federation","448164.71","413052.24","424782.91","419288.82","462618.47","464971.93","58890.68","70664.11","85775.43","87230.43","151767.68","152532.82","11853.81","16253.76","17709.44","18182.79","18881.26","18976.45","17434.01","11377.59","12464.59","12441.74","13824.18","13893.88","108.56","155.11","1717.11","1497.45","3620.59","3638.84","275189.52","300942.56","279052.45","284564.94","177720.02","178616.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","811641.29","812445.37","821501.93","823206.17","828432.20","832629.93"
"Rwanda","","","","","","","","","","","","","224.00","224.00","224.00","224.00","224.00","224.00","","","","","","","","","","","","","","","","","","","","","","","","","212.85","185.23","192.24","265.03","337.83","410.63","436.85","409.23","416.24","489.03","561.83","634.63"
"Saint Barthélemy","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","","","","","","","","","","","","","","","","","","0.17","0.17","0.17","0.17","0.17","0.17","0.17","0.17","0.17","0.17","0.17","0.17"
"Saint Kitts and Nevis","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","11.00","11.00","11.00","11.00","11.00","11.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","11.00","11.00","11.00","11.00","11.00","11.00"
"Saint Lucia","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.13","1.13","1.13","1.13","7.41","9.31","9.31","9.31","9.31","9.31","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","19.65","19.75","20.62","21.62","22.15","22.40","27.06","29.06","31.06","32.06","32.59","32.84"
"Saint Martin (French Part)","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","1.00","1.00","1.00","1.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.24","0.24","0.24","0.24","0.24","0.24","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.24","1.24","1.24","1.24","1.24","1.24"
"Saint Pierre and Miquelon","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.90","1.67","1.45","1.33","1.21","1.10","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.90","1.67","1.45","1.33","1.21","1.10"
"Saint Vincent and the Grenadines","0.01","0.01","0.02","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","28.51","28.53","28.53","28.54","28.56","28.56","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","28.52","28.54","28.55","28.55","28.56","28.56"
"Samoa","90.06","87.60","85.15","83.93","82.70","81.48","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","86.52","84.17","81.81","80.63","79.46","78.28","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","176.58","171.77","166.96","164.56","162.16","159.76"
"San Marino","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00"
"Sao Tome and Principe","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","29.50","29.50","29.50","29.50","0.00","0.00","0.00","0.00","0.00","0.00","58.62","58.31","28.50","25.53","25.65","25.78","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.45","0.23","0.00","0.00","0.00","0.00","59.07","58.54","58.00","55.03","55.15","55.28"
