Country,Code,Forest_1990,Forest_2025,Forest_change,GDP_avg,Region,Income_group,log_GDP,Income_group_order,Outlier_type
Vanuatu,VUT,81.29,74.44,-6.8500000000000085,2275.5558349593134,East Asia & Pacific,Lower middle income,7.7299796246020716,2,Expected pattern
Vietnam,VNM,29.91,47.19,17.279999999999998,1556.0428058030764,East Asia & Pacific,Lower middle income,7.349901214516159,2,Expected pattern
Zambia,ZMB,63.78,60.36,-3.4200000000000017,934.5875882190619,Sub-Saharan Africa,Lower middle income,6.840105349864705,2,Expected pattern
Zimbabwe,ZWE,43.21,35.58,-7.630000000000003,1153.0358118115823,Sub-Saharan Africa,Lower middle income,7.050153579467188,2,Expected pattern
Albania,ALB,28.79,34.34,5.550000000000004,3520.932338263668,Europe & Central Asia,Upper middle income,8.166481102345495,3,Expected pattern
Algeria,DZA,0.72,0.71,-0.01,3545.5985429966904,Middle East & North Africa,Upper middle income,8.173462266180033,3,Expected pattern
Argentina,ARG,20.46,17.03,-3.43,9017.220575484442,Latin America & Caribbean,Upper middle income,9.106891425381532,3,Expected pattern
Armenia,ARM,11.76,11.74,-0.0199999999999995,2613.0010138261855,Europe & Central Asia,Upper middle income,7.86825465351372,3,Expected pattern
Azerbaijan,AZE,11.43,14.68,3.25,3383.9422425160096,Europe & Central Asia,Upper middle income,8.12679665276604,3,Expected pattern
Belarus,BLR,38.33,44.22,5.890000000000001,4310.261292576996,Europe & Central Asia,Upper middle income,8.36875380598803,3,Expected pattern
Belize,BLZ,69.26,57.65,-11.610000000000008,5231.646676781307,Latin America & Caribbean,Upper middle income,8.562481359660467,3,Expected pattern
Bosnia and Herzegovina,BIH,43.16,42.23,-0.9299999999999996,3669.969416501449,Europe & Central Asia,Upper middle income,8.20793860763554,3,Expected pattern
Botswana,BWA,27.75,27.76,0.0100000000000015,5220.709078622016,Sub-Saharan Africa,Upper middle income,8.560388510467906,3,Expected pattern
Brazil,BRA,73.99,58.16,-15.829999999999998,6915.845182242137,Latin America & Caribbean,Upper middle income,8.841570461104697,3,Expected pattern
China,CHN,16.74,24.2,7.460000000000001,4614.933663440253,East Asia & Pacific,Upper middle income,8.437052772714523,3,Expected pattern
Colombia,COL,58.68,53.59,-5.089999999999996,4594.981419858527,Latin America & Caribbean,Upper middle income,8.432719991225252,3,Expected pattern
Costa Rica,CRI,54.03,58.55,4.519999999999996,7388.245344328582,Latin America & Caribbean,Upper middle income,8.907645549258344,3,Expected pattern
Cuba,CUB,22.27,34.9,12.63,4715.376493575064,Latin America & Caribbean,Upper middle income,8.458584042054689,3,Expected pattern
Dominica,DMA,78.44,76.47,-1.9699999999999989,6490.748678640926,Latin America & Caribbean,Upper middle income,8.778133161849277,3,Expected pattern
Dominican Republic,DOM,44.24,46.84,2.6000000000000014,4870.810433520847,Latin America & Caribbean,Upper middle income,8.491015615685425,3,Expected pattern
Ecuador,ECU,58.92,49.57,-9.35,3913.2328352808186,Latin America & Caribbean,Upper middle income,8.272119123450866,3,Expected pattern
El Salvador,SLV,35.5,33.05,-2.450000000000003,2874.5199850280446,Latin America & Caribbean,Upper middle income,7.963640977562414,3,Expected pattern
Equatorial Guinea,GNQ,96.23,85.8,-10.430000000000009,6672.049668259525,Sub-Saharan Africa,Upper middle income,8.805682388294375,3,Expected pattern
Fiji,FJI,51.43,62.21,10.78,3664.9823602888237,East Asia & Pacific,Upper middle income,8.206578801291114,3,Expected pattern
Gabon,GAB,92.27,91.42,-0.8499999999999943,6502.435745171399,Sub-Saharan Africa,Upper middle income,8.779932115716337,3,Expected pattern
Georgia,GEO,43.61,44.62,1.009999999999998,2937.012610092142,Europe & Central Asia,Upper middle income,7.985148224717541,3,Expected pattern
Grenada,GRD,52.06,52.06,0.0,6585.003407916524,Latin America & Caribbean,Upper middle income,8.792550131704434,3,Expected pattern
Guatemala,GTM,45.28,32.99,-12.29,2800.6267237988905,Latin America & Caribbean,Upper middle income,7.937598501045289,3,Expected pattern
Indonesia,IDN,61.47,50.71,-10.759999999999998,2283.58424485882,East Asia & Pacific,Upper middle income,7.733501524810226,3,Expected pattern
Iran,IRN,6.63,6.63,0.0,3779.2528915842636,Middle East & North Africa,Upper middle income,8.237281621349716,3,Expected pattern
Iraq,IRQ,1.85,1.6,-0.25,3414.6536571799274,Middle East & North Africa,Upper middle income,8.135831348759217,3,Expected pattern
Jamaica,JAM,48.13,56.91,8.779999999999994,4359.559179894821,Latin America & Caribbean,Upper middle income,8.380126225702861,3,Expected pattern
Kazakhstan,KAZ,1.17,1.3,0.1300000000000001,6086.22570676874,Europe & Central Asia,Upper middle income,8.713783415994797,3,Expected pattern
Libya,LBY,0.12,0.12,0.0,7830.2888403593515,Middle East & North Africa,Upper middle income,8.965754677239252,3,Expected pattern
