country,code,forest_1990,forest_2025,forest_change,mean_gdp,region,income_group,log_gdp,peer_residual,outlier_category
Haiti,HTI,13.4,13.5,0.0999999999999996,997.5001049735076,Latin America & Caribbean,Lower middle income,6.9052522540006125,2.929999999999998,expected_positive
Honduras,HND,68.32,52.38,-15.93999999999999,1681.6355650462046,Latin America & Caribbean,Lower middle income,7.4275221494269905,-13.109999999999992,expected_negative
Hungary,HUN,19.88,22.87,2.990000000000002,10988.32146829356,Europe & Central Asia,High income,9.3045883030935,1.780000000000003,expected_positive
Iceland,ISL,0.18,0.61,0.43,48606.48025109835,Europe & Central Asia,High income,10.791512139499764,,geographic_excluded
India,IND,21.5,24.46,2.960000000000001,1114.969497147248,South Asia,Lower middle income,7.0165823267014025,5.789999999999999,expected_positive
Indonesia,IDN,61.47,50.71,-10.759999999999998,2283.58424485882,East Asia & Pacific,Upper middle income,7.733501524810226,-10.759999999999998,expected_negative
Iraq,IRQ,1.85,1.6,-0.25,3414.6536571799274,Middle East & North Africa,Upper middle income,8.135831348759217,,geographic_excluded
Ireland,IRL,6.7,12.09,5.39,50934.20066999654,Europe & Central Asia,High income,10.838289895762646,4.180000000000001,expected_positive
Isle of Man,IMN,6.37,6.44,0.0700000000000002,49641.98746789473,Europe & Central Asia,High income,10.812592276145882,-1.1399999999999988,expected_positive
Italy,ITA,25.67,31.86,6.189999999999998,29905.562869719237,Europe & Central Asia,High income,10.305799791228267,4.979999999999999,expected_positive
Jamaica,JAM,48.13,56.91,8.779999999999994,4359.559179894821,Latin America & Caribbean,Upper middle income,8.380126225702861,8.779999999999994,expected_positive
Japan,JPN,68.45,68.33,-0.1200000000000045,37670.55180504389,East Asia & Pacific,High income,10.536633948973911,-1.3300000000000036,expected_negative
Jordan,JOR,0.8,0.8,0.0,2804.2547853247547,Middle East & North Africa,Lower middle income,7.938893108978278,,geographic_excluded
Kazakhstan,KAZ,1.17,1.3,0.1300000000000001,6086.22570676874,Europe & Central Asia,Upper middle income,8.713783415994797,,geographic_excluded
Kenya,KEN,6.57,6.88,0.3099999999999996,997.1310505656222,Sub-Saharan Africa,Lower middle income,6.904882206224038,3.139999999999998,expected_positive
Kiribati,KIR,1.32,1.32,0.0,1338.5449635233656,East Asia & Pacific,Lower middle income,7.199338454867889,,geographic_excluded
Kuwait,KWT,0.19,0.35,0.1599999999999999,29030.26017045848,Middle East & North Africa,High income,10.276094019102471,,geographic_excluded
Latvia,LVA,50.99,55.71,4.719999999999999,11354.424856133848,Europe & Central Asia,High income,9.337362802101747,3.51,expected_positive
Lebanon,LBN,13.48,13.81,0.33,5120.612187007364,Middle East & North Africa,Lower middle income,8.541029278660773,3.1599999999999984,expected_positive
Lesotho,LSO,1.14,1.14,0.0,793.3575202838283,Sub-Saharan Africa,Lower middle income,6.676273965285393,,geographic_excluded
Liberia,LBR,83.15,65.68,-17.47,419.9930190941393,Sub-Saharan Africa,Low income,6.04023808993485,-13.09,expected_negative
Libya,LBY,0.12,0.12,0.0,7830.288840359351,Middle East & North Africa,Upper middle income,8.965754677239252,,geographic_excluded
Liechtenstein,LIE,32.5,37.38,4.880000000000003,121047.82323205454,Europe & Central Asia,High income,11.703940979817526,3.6700000000000035,expected_positive
Lithuania,LTU,31.07,35.4,4.329999999999998,12564.93997494961,Europe & Central Asia,High income,9.438665672803497,3.119999999999999,expected_positive
Luxembourg,LUX,33.33,34.45,1.1200000000000043,86444.68495942505,Europe & Central Asia,High income,11.367260008127412,-0.08999999999999475,expected_positive
Madagascar,MDG,23.51,17.05,-6.460000000000001,393.8627456319781,Sub-Saharan Africa,Low income,5.97600248726587,-2.080000000000002,expected_negative
Malawi,MWI,37.14,21.55,-15.59,441.95302814148977,Sub-Saharan Africa,Low income,6.091203605257417,-11.21,expected_negative
Malaysia,MYS,62.76,57.48,-5.280000000000001,7154.3279738948095,East Asia & Pacific,Upper middle income,8.875472763595464,-5.280000000000001,expected_negative
Maldives,MDV,12.4,12.4,0.0,5915.620820779915,South Asia,Upper middle income,8.685351727926003,0.0,expected_positive
Mali,MLI,11.47,8.59,-2.880000000000001,656.4774103891854,Sub-Saharan Africa,Low income,6.486888283994993,1.4999999999999982,expected_negative
Malta,MLT,1.09,1.47,0.3799999999999999,20140.250807348933,Middle East & North Africa,High income,9.910475619390096,,geographic_excluded
Marshall Islands,MHL,52.22,53.94,1.7199999999999989,3451.6617759232035,East Asia & Pacific,Upper middle income,8.146611068238274,1.7199999999999989,expected_positive
Mauritania,MRT,0.9,0.99,0.0899999999999999,1326.8883150275333,Sub-Saharan Africa,Lower middle income,7.190591867284257,,geographic_excluded
Mauritius,MUS,20.57,19.17,-1.3999999999999986,6914.506743506396,Sub-Saharan Africa,Upper middle income,8.841376910174525,-1.3999999999999986,expected_negative
Mexico,MEX,36.94,34.09,-2.8499999999999943,8505.107037457068,Latin America & Caribbean,Upper middle income,9.048422089989694,-2.8499999999999943,expected_negative
Moldova,MDA,9.89,11.26,1.3699999999999992,2299.1275267656274,Europe & Central Asia,Upper middle income,7.740284993762211,1.3699999999999992,expected_positive
Monaco,MCO,0.0,0.0,0.0,147579.45778102003,Europe & Central Asia,High income,11.90212200653744,,geographic_excluded
Mongolia,MNG,9.21,9.1,-0.1100000000000012,2343.1417703517027,East Asia & Pacific,Upper middle income,7.759247944723225,-0.1100000000000012,expected_negative
Montenegro,MNE,46.54,61.49,14.950000000000005,6068.4997069845485,Europe & Central Asia,Upper middle income,8.710866688261756,14.950000000000005,expected_positive
Morocco,MAR,12.77,12.76,-0.0099999999999997,2517.7336600167428,Middle East & North Africa,Lower middle income,7.831114434592287,2.8199999999999985,expected_negative
Mozambique,MOZ,52.89,41.0,-11.89,443.9559043033684,Sub-Saharan Africa,Low income,6.095725242868147,-7.510000000000002,expected_negative
Myanmar,MMR,60.09,41.51,-18.580000000000005,662.1565982939053,East Asia & Pacific,Lower middle income,6.495502081276741,-15.750000000000007,expected_negative
Namibia,NAM,10.65,9.77,-0.8800000000000008,3677.5621489421846,Sub-Saharan Africa,Upper middle income,8.210005352113129,-0.8800000000000008,expected_negative
Nauru,NRU,0.0,0.0,0.0,6362.112109652163,East Asia & Pacific,High income,8.758115693916192,,geographic_excluded
Nepal,NPL,40.1,43.71,3.61,591.6236959503227,South Asia,Lower middle income,6.382870784041135,6.439999999999998,expected_positive
Netherlands,NLD,10.26,10.97,0.7100000000000009,42345.64734653008,Europe & Central Asia,High income,10.653620916676092,-0.4999999999999982,expected_positive
New Caledonia,NCL,45.47,48.83,3.3599999999999994,26324.314276707977,East Asia & Pacific,High income,10.178248288294744,2.1500000000000004,expected_positive
New Zealand,NZL,35.59,39.13,3.539999999999999,29572.781344111845,East Asia & Pacific,High income,10.294609668082028,2.33,expected_positive
Nicaragua,NIC,58.99,39.73,-19.260000000000005,1425.48526894231,Latin America & Caribbean,Lower middle income,7.262267574340937,-16.430000000000007,expected_negative
Niger,NER,1.54,0.83,-0.7100000000000001,414.5166463790376,Sub-Saharan Africa,Low income,6.027113133911384,,geographic_excluded
Nigeria,NGA,23.68,18.81,-4.870000000000001,1677.976443244425,Sub-Saharan Africa,Lower middle income,7.425343848337683,-2.0400000000000027,expected_negative
