country,code,forest_1990,forest_2025,forest_change,mean_gdp,region,income_group
Malta,MLT,1.09,1.47,0.3799999999999999,20140.250807348933,Middle East & North Africa,High income
Marshall Islands,MHL,52.22,53.94,1.7199999999999989,3451.6617759232035,East Asia & Pacific,Upper middle income
Mauritania,MRT,0.9,0.99,0.0899999999999999,1326.8883150275333,Sub-Saharan Africa,Lower middle income
Mauritius,MUS,20.57,19.17,-1.3999999999999986,6914.506743506396,Sub-Saharan Africa,Upper middle income
Mexico,MEX,36.94,34.09,-2.8499999999999943,8505.107037457068,Latin America & Caribbean,Upper middle income
Moldova,MDA,9.89,11.26,1.3699999999999992,2299.1275267656274,Europe & Central Asia,Upper middle income
Monaco,MCO,0.0,0.0,0.0,147579.45778102003,Europe & Central Asia,High income
Mongolia,MNG,9.21,9.1,-0.1100000000000012,2343.1417703517027,East Asia & Pacific,Upper middle income
Montenegro,MNE,46.54,61.49,14.950000000000005,6068.4997069845485,Europe & Central Asia,Upper middle income
Morocco,MAR,12.77,12.76,-0.0099999999999997,2517.7336600167428,Middle East & North Africa,Lower middle income
Mozambique,MOZ,52.89,41.0,-11.89,443.9559043033684,Sub-Saharan Africa,Low income
Myanmar,MMR,60.09,41.51,-18.580000000000005,662.1565982939053,East Asia & Pacific,Lower middle income
Namibia,NAM,10.65,9.77,-0.8800000000000008,3677.5621489421846,Sub-Saharan Africa,Upper middle income
Nauru,NRU,0.0,0.0,0.0,6362.112109652163,East Asia & Pacific,High income
Nepal,NPL,40.1,43.71,3.61,591.6236959503227,South Asia,Lower middle income
Netherlands,NLD,10.26,10.97,0.7100000000000009,42345.64734653008,Europe & Central Asia,High income
New Caledonia,NCL,45.47,48.83,3.3599999999999994,26324.314276707977,East Asia & Pacific,High income
New Zealand,NZL,35.59,39.13,3.539999999999999,29572.781344111845,East Asia & Pacific,High income
Nicaragua,NIC,58.99,39.73,-19.260000000000005,1425.48526894231,Latin America & Caribbean,Lower middle income
Niger,NER,1.54,0.83,-0.7100000000000001,414.51664637903764,Sub-Saharan Africa,Low income
Nigeria,NGA,23.68,18.81,-4.870000000000001,1677.976443244425,Sub-Saharan Africa,Lower middle income
North Macedonia,MKD,36.16,40.69,4.530000000000001,4225.644119737552,Europe & Central Asia,Upper middle income
Northern Mariana Islands,MNP,44.17,52.96,8.79,18842.01161701951,East Asia & Pacific,High income
Norway,NOR,33.54,33.24,-0.2999999999999971,65035.73704743413,Europe & Central Asia,High income
Oman,OMN,0.01,0.01,0.0,15350.12850479662,Middle East & North Africa,High income
Pakistan,PAK,4.49,4.14,-0.3500000000000005,925.1711863189944,South Asia,Lower middle income
