,1990,2000,2010,2015,2020,2025
Greece,28.773467804499614,28.773467804499614,28.865787432117923,31.792086889061288,36.94957331264546,36.94957331264546
Greenland,0.0005359970763795833,0.0005359970763795833,0.0005359970763795833,0.0005359970763795833,0.0005359970763795833,0.0005359970763795833
Grenada,52.058823529411754,52.058823529411754,52.058823529411754,52.058823529411754,52.058823529411754,52.058823529411754
Guadeloupe,43.29585798816568,42.76331360946745,42.337278106508876,45.0,45.83333333333333,46.666666666666664
Guam,44.44444444444444,44.44444444444444,44.44444444444444,52.35185185185185,52.35185185185185,52.35185185185185
Guatemala,45.28191489361702,39.4425158641284,35.0489921612542,34.25933184023889,33.60955580440463,32.994120940649495
Guernsey,2.8205128205128207,2.8205128205128207,4.743589743589744,5.384615384615384,6.0256410256410255,6.0256410256410255
Guinea,29.310638124694776,26.58407944001302,23.857520755331272,22.4942210646264,21.13096207064952,19.767662379944653
Guinea-Bissau,80.27702702702703,78.48933143669984,76.92603129445234,76.17247510668562,75.41891891891893,74.66536273115221
Guyana,94.49911099822201,94.30642621285243,94.08082296164592,93.78389636779274,93.5501143002286,87.03793691389599
Haiti,13.39622641509434,13.940493468795356,13.795355587808416,13.218432510885341,13.247460087082729,13.50145137880987
Holy See,0.0,0.0,0.0,0.0,0.0,0.0
Honduras,68.31897399231389,63.7185628742515,60.279649655912046,58.334078112431854,54.628921261953714,52.38475288229512
Hungary,20.183598531211754,21.436844454362866,22.604550977576494,22.581854043392507,22.53999561691869,22.872781065088756
Chad,5.344726810673444,5.045060355781448,4.391709021601017,3.8837833545108005,3.3758656289707756,2.86794790343075
Chile,22.60958506157099,23.434889150702322,24.26017979051339,24.50074778220709,24.459364223732134,24.449552226911187
China,16.673325432084095,18.78049699194669,21.285596899644784,22.31309418460727,23.247204959638566,24.101873555060564
Iceland,0.17885286783042392,0.32139650872817954,0.48618453865336664,0.5309725685785536,0.5619359317663394,0.609739164931072
India,21.504848327890247,22.73349500031952,23.37422095459759,23.822224613966817,24.320342796794016,24.464968602746545
Indonesia,61.9618230228296,48.97878530124063,51.293861739881194,50.61354905063544,50.89796694467539,50.7088431488535
Iran (Islamic Republic of),6.600726933372628,6.600726933372628,6.600726933372628,6.600726933372628,6.6261941448382125,6.6261941448382125
Iraq,1.8371173148592725,1.8694011934974966,1.851860379443728,1.7474339365348468,1.6713273504588506,1.5952594844862136
Ireland,6.701117723907679,9.150239512265932,10.45696037160691,10.954710407896647,11.51574974597184,12.089563071563363
Isle of Man,6.368421052631579,6.368421052631579,6.368421052631579,6.368421052631579,6.43859649122807,6.43859649122807
Israel,6.099815157116451,7.070240295748614,7.116451016635859,7.624768946395563,6.469500924214418,6.931608133086876
Italy,25.80582095134473,28.301456116976308,30.52922040592727,30.119911537343008,31.650226398888126,31.861084809955358
Jamaica,48.13481071098799,48.3185595567867,51.01939058171745,53.749769159741454,58.550323176361964,63.35087719298246
Japan,68.43115743280308,68.24691358024691,68.49382716049382,68.43347050754458,68.36488340192044,68.32171551471833
Jersey,5.0,5.0,5.0,5.0,5.583333333333334,5.666666666666667
Jordan,0.8012239347234815,0.8012239347234815,0.7963505293985133,0.7963505293985133,0.7962249701556411,0.7962249701556411
Kazakhstan,1.1713301477941993,1.1693632625847317,1.1416750009260286,1.2254917213023668,1.278293884505686,1.3040374856465535
Kenya,6.572372351266824,6.705221913764628,6.814615033207998,5.945602136556911,6.310327863091682,6.73776843710098
Kiribati,1.3209876543209877,1.3209876543209877,1.3209876543209877,1.3209876543209877,1.3209876543209877,1.3209876543209877
Kuwait,0.1936026936026936,0.28002244668911336,0.3024691358024691,0.34175084175084175,0.35353535353535354,0.35353535353535354
Kyrgyzstan,5.92502606882169,6.156934306569344,6.39645464025026,6.501251303441085,6.544108446298227,6.545776850886339
Lao People's Democratic Republic,62.38856152512998,60.87538994800694,59.18799826689774,57.9263431542461,57.247443674176765,56.48197573656846
Latvia,50.99072749771,52.08350073119385,54.19062464846449,54.616484805630996,55.18447694038245,55.712035995500564
Lebanon,13.481915933528835,13.576735092864123,13.672531769305962,13.720430107526882,13.76735092864125,13.81427174975562
Lesotho,1.1370223978919631,1.1370223978919631,1.1370223978919631,1.1370223978919631,1.1370223978919631,1.1370223978919631
Liberia,83.14742524916944,83.14742524916944,79.10901162790698,73.05409053156146,67.78882890365449,65.68230897009967
Libya,0.12332768791843322,0.12143514782272638,0.11954260772701955,0.11859349602737078,0.117644384327722,0.11669527262807326
Liechtenstein,32.5,33.625,34.6875,34.6875,34.6875,37.375
Lithuania,31.03063178047224,32.22718570516911,34.623055444754684,34.90822027134876,35.167518364739706,35.40479233226838
Luxembourg,33.32685958438532,33.676442027578176,34.453291901340066,34.453291901340066,34.453291901340066,34.453291901340066
Madagascar,23.51882931526636,22.379131272139492,20.542456236888263,19.157098659333105,18.12215537985562,17.054107940873152
Malawi,37.142129826050066,32.686677980483665,28.231862537123458,26.004454815443356,23.777047093763258,21.549639372083156
Malaysia,62.75604930756353,59.93410439811292,57.6705219905646,59.24279409526708,58.39214731395527,57.47904428549688
Maldives,12.400000000000002,12.400000000000002,12.400000000000002,12.400000000000002,12.400000000000002,12.483221476510067
Mali,11.472278907383277,10.648259697260261,9.82424048713725,9.412230882075741,9.000221277014235,8.58821167195273
Malta,1.09375,1.09375,1.09375,1.09375,1.4375,1.46875
Marshall Islands,52.22222222222223,52.22222222222223,52.22222222222223,52.22222222222223,53.94444444444445,53.94444444444445
