"","Naturally regenerating forest (1 000 ha)","Naturally regenerating forest (1 000 ha)","Naturally regenerating forest (1 000 ha)","Naturally regenerating forest (1 000 ha)","Naturally regenerating forest (1 000 ha)","Naturally regenerating forest (1 000 ha)","…of which primary forest (1 000 ha)","…of which primary forest (1 000 ha)","…of which primary forest (1 000 ha)","…of which primary forest (1 000 ha)","…of which primary forest (1 000 ha)","…of which primary forest (1 000 ha)"
"Pitcairn","","","","","","","","","","","",""
"Poland","","","","2072.40","2082.10","2088.90","","","","","",""
"Portugal","1223.83","1020.14","840.88","852.12","863.36","874.60","25.44","25.38","24.85","24.82","24.79","24.77"
"Puerto Rico","303.83","429.15","491.45","488.18","473.24","502.82","0.00","0.00","0.00","0.00","0.00","0.00"
"Qatar","1.33","1.33","1.33","1.33","1.33","1.33","0.00","0.00","0.00","0.00","0.00","0.00"
"Republic of Korea","4642.00","4404.00","4152.00","4056.00","4031.00","4019.00","","","","","",""
"Republic of Moldova","179.00","189.40","162.50","167.70","162.00","160.70","","","","","",""
"Réunion","62.57","65.59","68.61","70.67","71.69","71.77","53.00","53.00","53.00","53.00","53.00","66.04"
"Romania","5843.00","5838.00","5975.00","5944.47","6033.98","6280.69","71.08","71.08","71.08","71.08","71.08","71.08"
"Russian Federation","794622.63","794139.90","801258.80","802757.55","807809.20","811832.55","300434.90","302209.20","303983.60","304870.80","305758.00","306645.20"
"Rwanda","204.39","160.91","139.20","171.89","204.58","237.28","","","","","",""
"Saint Barthélemy","0.17","0.17","0.17","0.17","0.17","0.17","0.00","0.00","0.00","0.00","0.00","0.00"
"Saint Kitts and Nevis","11.00","11.00","11.00","11.00","11.00","11.00","5.10","5.10","5.10","5.10","5.10","5.10"
"Saint Lucia","27.06","29.06","31.06","32.06","32.59","32.84","0.00","0.00","0.00","0.00","0.00","0.00"
"Saint Martin (French Part)","1.24","1.24","1.24","1.24","1.24","1.24","0.00","0.00","0.00","0.00","0.00","0.00"
