Entity,Code,Year,Share of land covered by forest,Share of land covered by forest (Annotations)
Namibia,NAM,diff_2025_minus_1990,-0.8820829999999997,
Nauru,NRU,diff_2025_minus_1990,0.0,
Nepal,NPL,diff_2025_minus_1990,3.6145100000000028,
Netherlands,NLD,diff_2025_minus_1990,0.7128010000000007,
New Caledonia,NCL,diff_2025_minus_1990,3.3632399999999976,
New Zealand,NZL,diff_2025_minus_1990,3.5348499999999987,
Nicaragua,NIC,diff_2025_minus_1990,-19.26375,
Niger,NER,diff_2025_minus_1990,-0.7025341,
Nigeria,NGA,diff_2025_minus_1990,-4.875983999999999,
North Korea,PRK,diff_2025_minus_1990,2.2631059999999934,
North Macedonia,MKD,diff_2025_minus_1990,4.524186,
Northern Mariana Islands,MNP,diff_2025_minus_1990,8.782607999999996,
Norway,NOR,diff_2025_minus_1990,-0.297114999999998,
Oman,OMN,diff_2025_minus_1990,0.0,
Pakistan,PAK,diff_2025_minus_1990,-0.3483679999999998,
Palau,PLW,diff_2025_minus_1990,8.08695200000001,
Panama,PAN,diff_2025_minus_1990,-4.602720000000005,
Papua New Guinea,PNG,diff_2025_minus_1990,-1.292670000000001,
Paraguay,PRY,diff_2025_minus_1990,-28.742275999999997,
Peru,PER,diff_2025_minus_1990,-7.717286999999999,
Philippines,PHL,diff_2025_minus_1990,-1.14086,
Poland,POL,diff_2025_minus_1990,2.0026790000000005,
Portugal,PRT,diff_2025_minus_1990,-0.8273500000000027,
Puerto Rico,PRI,diff_2025_minus_1990,14.907550999999998,
Qatar,QAT,diff_2025_minus_1990,0.0,
Romania,ROU,diff_2025_minus_1990,2.547504,
Russia,RUS,diff_2025_minus_1990,1.281601000000002,
Rwanda,RWA,diff_2025_minus_1990,8.017025,
Saint Kitts and Nevis,KNA,diff_2025_minus_1990,0.0,
Saint Lucia,LCA,diff_2025_minus_1990,9.475409999999997,
Saint Martin (French part),MAF,diff_2025_minus_1990,0.0,
Saint Vincent and the Grenadines,VCT,diff_2025_minus_1990,0.10256600000001015,
Samoa,WSM,diff_2025_minus_1990,-6.050361000000002,
San Marino,SMR,diff_2025_minus_1990,0.0,
Sao Tome and Principe,STP,diff_2025_minus_1990,-3.9479180000000014,
Saudi Arabia,SAU,diff_2025_minus_1990,0.0034887999999999586,
Senegal,SEN,diff_2025_minus_1990,-2.8257400000000032,
Serbia,SRB,diff_2025_minus_1990,13.820907000000002,
Seychelles,SYC,diff_2025_minus_1990,-16.543484,
Sierra Leone,SLE,diff_2025_minus_1990,-9.565392000000003,
Singapore,SGP,diff_2025_minus_1990,1.3509749999999983,
Sint Maarten (Dutch part),SXM,diff_2025_minus_1990,0.0,
Slovakia,SVK,diff_2025_minus_1990,0.7905580000000043,
Slovenia,SVN,diff_2025_minus_1990,2.758685,
Solomon Islands,SLB,diff_2025_minus_1990,-0.9210459999999898,
Somalia,SOM,diff_2025_minus_1990,-5.505388000000001,
South Africa,ZAF,diff_2025_minus_1990,2.526491,
South Korea,KOR,diff_2025_minus_1990,-2.7855500000000006,
South Sudan,SSD,diff_2025_minus_1990,0.08830099999999952,
