regions,subregions,iso3,iso2,m49,name,Desk study,year,1a_forestArea,1a_otherWoodedLand,1a_landArea,1b_naturallyRegeneratingForest,1b_primary,1b_plantedForest,1b_plantationForest,1b_plantationForestIntroduced,1b_otherPlantedForest,1b_primaryForestBoreal,1b_primaryForestTemperate,1b_primaryForestSubTropical,1b_primaryForestTropical,1c_bamboos,1c_mangroves,1c_rubber,1e_palms,1e_treeOrchards,1e_agroforestry,1e_treesUrbanSettings,1e_other,2a_gs_ha_nat_reg,2a_gs_ha_primary,2a_gs_ha_introduced,2a_gs_ha_forest,2a_gs_ha_plantation,2a_gs_ha_planted,2a_gs_ha_owl,2a_gs_ha_other_planted,2a_gs_tot_nat_reg,2a_gs_total_primary,2a_gs_total_introduced,2a_gs_tot_planted,2a_gs_tot_plantation,2a_gs_tot_other_planted,2a_gs_tot_forest,2a_gs_tot_owl,2b_native_#1,2b_native_#2,2b_native_#3,2b_native_#4,2b_native_#5,2b_native_#6,2b_native_#7,2b_native_#8,2b_native_#9,2b_native_#10,2b_native_remaining,2b_native_total,2b_introduced_#1,2b_introduced_#2,2b_introduced_#3,2b_introduced_#4,2b_introduced_#5,2b_introduced_remaining,2b_introduced_total,2b_total_gs,2c_agb,2c_bgb,2c_dwb,2c_agb_total,2c_bgb_total,2c_dwb_total,2d_carbon_agb,2d_carbon_bgb,2d_carbon_dw,2d_carbon_litter,2d_carbon_soil,2d_carbon_agb_total,2d_carbon_bgb_total,2d_carbon_dw_total,2d_carbon_litter_total,2d_carbon_soil_total,2d_soil_depth_cm,3a_prim_prod,3a_prim_prot,3a_prim_biodiv,3a_prim_socserv,3a_prim_multi,3a_prim_other,3a_prim_no,3a_prim_unknown,3a_tot_prod,3a_tot_prot,3a_tot_biodiv,3a_tot_socserv,3a_tot_other,3b_protected,3b_forMngt,3b_mngtProt,4a_priv_own,4a_individ,4a_bus_inst_fo,4a_indigenous_fo,4a_pub_own,4a_fo_other,4a_fo_unknown,4b_pub_admin,4b_bus_inst_mr,4b_indigenous_mr,4b_unknown,4b_other,5c_y_n,6a_policies_national,6a_policies_sub_national,6a_legislation_national,6a_legislation_sub_national,6a_platform_national,6a_platform_sub_national,6a_traceability_national,6a_traceability_sub_national,6b_pfe_y_n,6b_pfe_area
"Oceania","","ASM","AS","016","American Samoa","No","2010","16.19","0.00","20.00","16.19","2.69","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.69","","0.04","0.00","","","","","","106.10","","","106.10","","","","","1.72","","0.00","0.00","0.00","0.00","1.72","0.00","","","","","","","","","","","","","","","","","","","","","145.15","34.59","4.32","2.35","0.56","0.07","68.22","16.26","2.03","","","1.10","0.26","0.03","","","","0.00","0.00","0.04","0.00","2.52","0.00","0.00","13.63","","","2.59","2.53","0.00","2.54","2.54","2.54","16.19","0.09","0.00","16.10","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","no","yes","yes","yes","yes","yes","yes","no","no","yes","2.54"
"Oceania","","ASM","AS","016","American Samoa","No","2015","15.85","0.00","20.00","15.85","1.38","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.38","","0.02","0.00","","","","","","110.40","","","110.40","","","","","1.75","","0.00","0.00","0.00","0.00","1.75","0.00","","","","","","","","","","","","","","","","","","","","","148.26","35.33","4.42","2.35","0.56","0.07","69.68","16.60","2.08","","","1.10","0.26","0.03","","","","0.00","0.00","0.02","0.00","2.52","0.00","0.00","13.31","","","2.59","2.53","0.00","2.54","2.54","2.54","15.85","0.09","0.00","15.76","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","no","yes","yes","yes","yes","yes","yes","no","no","yes","2.54"
"Oceania","","ASM","AS","016","American Samoa","No","2020","15.85","0.00","20.00","15.85","0.09","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.09","","0.02","0.00","","","","","","110.40","","","110.40","","","","","1.75","","0.00","0.00","0.00","0.00","1.75","0.00","","","","","","","","","","","","","","","","","","","","","148.26","35.33","4.42","2.35","0.56","0.07","69.68","16.60","2.08","","","1.10","0.26","0.03","","","","0.00","0.00","0.02","0.00","2.52","0.00","0.00","13.31","","","2.59","2.53","0.00","2.54","2.54","2.54","15.85","0.09","0.00","15.76","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","no","yes","yes","yes","yes","yes","yes","no","no","yes","2.54"
"Oceania","","ASM","AS","016","American Samoa","No","2025","15.85","0.00","20.00","15.85","0.09","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.09","","0.02","0.00","","","","","","110.40","","","110.40","","","","","1.75","","0.00","0.00","0.00","0.00","1.75","0.00","","","","","","","","","","","","","","","","","","","","","148.26","35.33","4.42","2.35","0.56","0.07","69.68","16.60","2.08","","","1.10","0.26","0.03","","","","0.00","0.00","0.02","0.00","2.52","0.00","0.00","13.31","","","2.59","2.53","0.00","2.54","2.54","2.54","","","","","","","","","","","","","no","yes","yes","yes","yes","yes","yes","no","no","yes","2.54"
"Europe","","AND","AD","020","Andorra","No","1990","17.69","0.00","47.00","17.69","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","220.00","","","220.00","","","","","3.89","0.00","0.00","0.00","0.00","0.00","3.89","0.00","","","","","","","","","","","","","","","","","","","","","154.00","30.80","","2.72","0.54","","72.38","14.48","","","","1.28","0.26","","","","","","","","","","","","17.69","","","","","","1.30","15.70","1.30","","","","","","","17.69","","","","","","no","yes","yes","yes","","no","no","no","no","",""
"Europe","","AND","AD","020","Andorra","No","2000","17.29","0.00","47.00","17.29","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","220.00","","","220.00","","","","","3.80","0.00","0.00","0.00","0.00","0.00","3.80","0.00","","","","","","","","","","","","","","","","","","","","","154.00","30.80","","2.66","0.53","","72.38","14.48","","","","1.25","0.25","","","","","","","","","","","","17.29","","","","","","1.30","15.70","1.30","","","","","","","17.29","","","","","","no","yes","yes","yes","","no","no","no","no","",""
"Europe","","AND","AD","020","Andorra","No","2010","18.08","0.00","47.00","18.08","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","220.00","","","220.00","","","","","3.98","0.00","0.00","0.00","0.00","0.00","3.98","0.00","","","","","","","","","","","","","","","","","","","","","154.00","30.80","","2.78","0.56","","72.38","14.48","","","","1.31","0.26","","","","","","","","","","","","18.08","","","","","","1.30","15.70","1.30","0.10","0.10","0.00","0.00","15.90","","2.08","15.90","0.00","0.00","0.00","","no","yes","yes","yes","","no","no","no","no","",""
"Europe","","AND","AD","020","Andorra","No","2015","18.29","0.00","47.00","18.29","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","220.00","","","220.00","","","","","4.02","0.00","0.00","0.00","0.00","0.00","4.02","0.00","","","","","","","","","","","","","","","","","","","","","154.00","30.80","","2.82","0.56","","72.38","14.48","","","","1.32","0.26","","","","","0.50","7.00","6.70","1.37","","","","2.72","","","","","","1.30","15.70","1.30","","","","","","","18.29","","","","","","no","yes","yes","yes","","no","no","no","no","",""
"Europe","","AND","AD","020","Andorra","No","2020","18.16","0.00","47.00","18.16","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","220.00","","","220.00","","","","","4.00","0.00","0.00","0.00","0.00","0.00","4.00","0.00","","","","","","","","","","","","","","","","","","","","","154.00","30.80","","2.80","0.56","","72.38","14.48","","","","1.31","0.26","","","","","0.54","7.48","6.75","0.91","","","","2.48","","","","","","1.30","15.70","1.30","0.10","","","","17.47","","0.59","17.47","","","0.00","","no","yes","yes","yes","","no","no","no","no","",""
"Europe","","AND","AD","020","Andorra","No","2025","18.22","0.00","47.00","18.22","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","251.60","","","251.60","","","","","4.58","0.00","0.00","0.00","0.00","0.00","4.58","0.00","","","","","","","","","","","","","","","","","","","","","139.96","66.00","14.42","2.55","1.20","0.26","69.90","33.00","7.21","","14.57","1.27","0.60","0.13","","0.27","","0.54","7.48","6.75","0.91","","","","2.54","0.54","7.48","6.75","0.91","","1.30","15.70","1.30","","","","","","","","","","","","","no","yes","yes","yes","","no","no","no","no","",""
