"","Policies supporting SFM","Policies supporting SFM","Legislations and regulations supporting SFM","Legislations and regulations supporting SFM","Platform that promotes or allows for stakeholder participation in forest policy development","Platform that promotes or allows for stakeholder participation in forest policy development","Traceability system(s) for wood products","Traceability system(s) for wood products"
"","National","Sub-national","National","Sub-national","National","Sub-national","National","Sub-national"
"Pakistan","yes","yes","yes","yes","yes","yes","no","no"
"Palau","no","no","yes","no","","","",""
"Palestine","yes","","yes","","","","",""
"Panama","yes","no","yes","no","no","no","yes","no"
"Papua New Guinea","yes","yes","yes","yes","yes","yes","no","no"
"Paraguay","yes","no","yes","no","yes","no","no","no"
"Peru","yes","yes","yes","yes","yes","yes","yes","yes"
"Philippines","yes","yes","yes","yes","yes","yes","no","no"
"Pitcairn","","","","","","","",""
"Poland","yes","no","yes","no","no","no","yes","no"
"Portugal","yes","yes","yes","yes","yes","yes","yes","no"
"Puerto Rico","yes","yes","yes","yes","yes","yes","yes","no"
"Qatar","no","no","no","no","no","no","no","no"
"Republic of Korea","yes","yes","yes","yes","yes","yes","yes","yes"
"Republic of Moldova","yes","yes","yes","yes","yes","yes","no","no"
"Réunion","yes","no","yes","no","yes","yes","yes","no"
"Romania","yes","no","yes","no","yes","no","yes","no"
"Russian Federation","yes","yes","yes","yes","yes","yes","yes","yes"
"Rwanda","yes","no","yes","no","yes","no","",""
"Saint Barthélemy","yes","yes","yes","yes","yes","","yes","no"
"Saint Kitts and Nevis","yes","","yes","","no","","no",""
"Saint Lucia","yes","yes","yes","yes","yes","yes","no","no"
"Saint Martin (French Part)","yes","yes","yes","yes","yes","yes","yes","no"
"Saint Pierre and Miquelon","yes","no","yes","no","no","no","no","no"
"Saint Vincent and the Grenadines","no","no","no","no","no","no","no","no"
"Samoa","yes","no","yes","no","yes","no","no","no"
"San Marino","","","","","","","",""
"Sao Tome and Principe","yes","yes","yes","yes","yes","yes","no","yes"
"Saudi Arabia","yes","yes","yes","yes","yes","yes","yes","yes"
"Senegal","yes","yes","yes","yes","yes","yes","yes","yes"
"Serbia","yes","no","yes","no","yes","no","yes","no"
"Seychelles","yes","yes","yes","yes","yes","no","",""
"Sierra Leone","yes","no","yes","no","yes","no","no","no"
"Singapore","yes","no","yes","no","no","no","no","no"
"Sint Maarten (Dutch part)","","","","","","","",""
"Slovakia","yes","no","yes","no","yes","no","yes","no"
"Slovenia","yes","yes","yes","no","yes","yes","yes","no"
"Solomon Islands","yes","yes","yes","yes","yes","no","no","no"
"Somalia","yes","no","yes","no","yes","no","no","no"
"South Africa","yes","yes","yes","yes","yes","yes","yes","yes"
"South Sudan","yes","yes","no","no","yes","yes","no","no"
"Spain","yes","yes","yes","yes","yes","yes","no","no"
"Sri Lanka","yes","no","yes","no","yes","no","yes","no"
"Sudan","yes","yes","yes","no","no","no","no","no"
"Suriname","yes","yes","yes","yes","yes","yes","yes","yes"
"Svalbard and Jan Mayen Islands","no","no","no","no","no","no","no","no"
"Sweden","yes","yes","yes","no","yes","yes","yes","no"
"Switzerland","yes","yes","yes","yes","yes","yes","no","no"
